CustomerID,Gender,Age,AnnualIncome_k$,SpendingScore
1,Male,41,68.2,34
2,Female,69,72.6,44
3,Female,28,32.8,39
4,Female,66,52.4,37
5,Male,25,40.0,81
6,Male,53,94.8,41
7,Male,55,70.2,37
8,Female,57,81.1,43
9,Female,37,90.0,86
10,Female,52,64.1,31
11,Male,65,68.0,52
12,Female,42,85.0,71
13,Female,52,48.0,22
14,Male,42,64.1,25
15,Male,46,62.0,29
16,Male,35,99.6,24
17,Male,63,88.0,20
18,Female,35,50.2,34
19,Male,19,69.3,69
20,Male,52,69.5,32
21,Female,33,73.2,40
22,Male,58,60.9,42
23,Male,53,90.2,7
24,Male,50,89.0,43
25,Female,21,34.5,62
26,Female,50,78.8,38
27,Male,31,44.3,57
28,Female,38,97.9,67
29,Female,65,48.7,15
30,Male,37,68.5,100
31,Female,25,16.8,57
32,Male,24,45.9,68
33,Male,20,37.0,100
34,Female,34,57.9,50
35,Female,50,63.6,23
36,Female,65,34.1,39
37,Male,29,67.2,76
38,Male,68,61.6,36
39,Female,39,69.8,74
40,Male,39,64.9,23
41,Male,63,31.5,36
42,Female,47,79.1,39
43,Male,55,54.3,42
44,Female,55,63.4,47
45,Male,62,83.9,21
46,Female,68,17.9,30
47,Male,25,24.7,82
48,Female,44,60.5,12
49,Female,44,63.5,20
50,Male,51,88.6,42
51,Female,38,88.0,61
52,Female,47,75.1,52
53,Female,50,50.3,14
54,Female,45,44.8,34
55,Female,64,15.0,52
56,Female,50,25.9,44
57,Male,22,37.5,74
58,Male,65,51.5,38
59,Male,36,65.6,39
60,Male,21,26.5,93
61,Male,52,66.6,38
62,Male,66,44.2,31
63,Female,34,55.3,40
64,Male,61,38.2,59
65,Male,45,46.4,22
66,Female,47,36.1,23
67,Male,46,51.1,34
68,Female,63,48.4,11
69,Male,23,17.3,80
70,Female,52,57.8,45
71,Female,58,74.0,37
72,Male,54,37.8,38
73,Male,41,103.0,41
74,Female,46,66.1,35
75,Female,66,84.7,25
76,Female,63,80.8,29
77,Female,48,47.5,37
78,Male,52,66.2,64
79,Male,50,65.8,38
80,Male,69,88.7,44
81,Female,38,62.1,77
82,Female,49,46.7,25
83,Male,40,58.0,31
84,Male,50,66.0,31
85,Male,20,15.0,66
86,Male,35,64.6,68
87,Female,42,63.7,100
88,Female,59,85.1,29
89,Female,48,80.7,43
90,Female,20,43.5,82
91,Male,57,61.0,39
92,Female,63,74.8,66
93,Female,41,80.0,41
94,Female,67,23.5,64
95,Female,49,55.3,43
96,Female,64,94.3,38
97,Female,39,71.1,78
98,Male,40,84.2,62
99,Male,19,17.2,88
100,Male,44,82.5,23
101,Male,59,68.7,4
102,Female,19,75.1,53
103,Male,43,107.2,34
104,Female,34,86.2,32
105,Female,57,77.9,31
106,Male,50,68.4,35
107,Male,26,19.5,78
108,Female,60,50.9,51
109,Male,65,55.8,34
110,Male,56,90.3,71
111,Male,46,74.1,31
112,Male,59,53.3,23
113,Female,43,62.5,45
114,Female,52,95.4,32
115,Female,67,37.9,36
116,Female,42,78.6,51
117,Female,41,91.0,51
118,Male,30,90.4,34
119,Female,24,66.7,74
120,Female,53,67.2,23
121,Female,62,68.5,45
122,Female,37,51.6,17
123,Male,18,44.4,63
124,Male,25,43.9,51
125,Male,63,31.9,38
126,Male,33,68.0,8
127,Female,31,101.9,24
128,Female,29,78.6,61
129,Male,68,67.2,60
130,Female,40,104.6,90
131,Male,32,44.5,27
132,Male,45,64.1,48
133,Male,51,59.8,10
134,Male,19,47.4,67
135,Female,49,56.3,1
136,Male,40,90.9,53
137,Female,39,110.9,49
138,Female,68,70.2,47
139,Male,42,40.1,100
140,Female,39,66.4,60
141,Female,39,87.8,34
142,Male,66,93.2,39
143,Female,69,56.2,37
144,Male,59,73.8,35
145,Male,23,53.2,45
146,Male,32,60.0,7
147,Female,60,95.9,65
148,Female,54,71.3,20
149,Male,50,103.0,26
150,Male,25,36.8,72
151,Female,61,68.1,45
152,Male,61,72.3,33
153,Male,22,50.0,67
154,Female,56,70.4,42
155,Female,21,51.4,80
156,Male,23,33.4,77
157,Female,62,71.8,16
158,Female,49,55.1,44
159,Male,69,90.8,47
160,Female,47,91.9,29
161,Male,64,64.5,47
162,Female,52,18.1,58
163,Female,57,26.5,50
164,Female,69,72.4,1
165,Male,33,29.2,79
166,Female,30,99.3,32
167,Male,67,44.1,43
168,Male,59,59.8,51
169,Male,47,68.6,59
170,Female,36,94.4,64
171,Female,34,68.0,41
172,Male,36,74.0,87
173,Female,45,52.7,39
174,Male,43,30.1,64
175,Female,54,100.6,21
176,Male,43,138.5,54
177,Female,40,23.5,42
178,Male,26,60.0,100
179,Female,29,50.8,94
180,Male,18,22.3,60
181,Male,18,15.0,61
182,Male,64,73.7,38
183,Female,51,75.6,21
184,Female,49,44.2,38
185,Male,65,49.2,55
186,Female,42,62.5,40
187,Female,57,67.5,29
188,Female,62,37.8,19
189,Female,18,48.1,50
190,Male,33,102.9,36
191,Male,56,71.1,26
192,Female,22,26.3,74
193,Female,39,96.0,45
194,Female,46,58.8,47
195,Male,20,52.6,69
196,Male,29,33.3,71
197,Female,43,71.2,56
198,Female,33,51.1,56
199,Female,68,47.1,49
200,Female,54,47.9,25
