CustomerID,Gender,Age,AnnualIncome_k$,SpendingScore,Cluster
1,Male,41,68.2,34,0
2,Female,69,72.6,44,0
3,Female,28,32.8,39,1
4,Female,66,52.4,37,0
5,Male,25,40.0,81,1
6,Male,53,94.8,41,0
7,Male,55,70.2,37,0
8,Female,57,81.1,43,0
9,Female,37,90.0,86,1
10,Female,52,64.1,31,0
11,Male,65,68.0,52,0
12,Female,42,85.0,71,0
13,Female,52,48.0,22,0
14,Male,42,64.1,25,0
15,Male,46,62.0,29,0
16,Male,35,99.6,24,0
17,Male,63,88.0,20,0
18,Female,35,50.2,34,0
19,Male,19,69.3,69,1
20,Male,52,69.5,32,0
21,Female,33,73.2,40,0
22,Male,58,60.9,42,0
23,Male,53,90.2,7,0
24,Male,50,89.0,43,0
25,Female,21,34.5,62,1
26,Female,50,78.8,38,0
27,Male,31,44.3,57,1
28,Female,38,97.9,67,0
29,Female,65,48.7,15,0
30,Male,37,68.5,100,1
31,Female,25,16.8,57,1
32,Male,24,45.9,68,1
33,Male,20,37.0,100,1
34,Female,34,57.9,50,1
35,Female,50,63.6,23,0
36,Female,65,34.1,39,0
37,Male,29,67.2,76,1
38,Male,68,61.6,36,0
39,Female,39,69.8,74,1
40,Male,39,64.9,23,0
41,Male,63,31.5,36,0
42,Female,47,79.1,39,0
43,Male,55,54.3,42,0
44,Female,55,63.4,47,0
45,Male,62,83.9,21,0
46,Female,68,17.9,30,0
47,Male,25,24.7,82,1
48,Female,44,60.5,12,0
49,Female,44,63.5,20,0
50,Male,51,88.6,42,0
51,Female,38,88.0,61,0
52,Female,47,75.1,52,0
53,Female,50,50.3,14,0
54,Female,45,44.8,34,0
55,Female,64,15.0,52,0
56,Female,50,25.9,44,0
57,Male,22,37.5,74,1
58,Male,65,51.5,38,0
59,Male,36,65.6,39,0
60,Male,21,26.5,93,1
61,Male,52,66.6,38,0
62,Male,66,44.2,31,0
63,Female,34,55.3,40,0
64,Male,61,38.2,59,0
65,Male,45,46.4,22,0
66,Female,47,36.1,23,0
67,Male,46,51.1,34,0
68,Female,63,48.4,11,0
69,Male,23,17.3,80,1
70,Female,52,57.8,45,0
71,Female,58,74.0,37,0
72,Male,54,37.8,38,0
73,Male,41,103.0,41,0
74,Female,46,66.1,35,0
75,Female,66,84.7,25,0
76,Female,63,80.8,29,0
77,Female,48,47.5,37,0
78,Male,52,66.2,64,0
79,Male,50,65.8,38,0
80,Male,69,88.7,44,0
81,Female,38,62.1,77,1
82,Female,49,46.7,25,0
83,Male,40,58.0,31,0
84,Male,50,66.0,31,0
85,Male,20,15.0,66,1
86,Male,35,64.6,68,1
87,Female,42,63.7,100,1
88,Female,59,85.1,29,0
89,Female,48,80.7,43,0
90,Female,20,43.5,82,1
